TransactionID,TransactionAmount,TransactionDate,MerchantCategory,TransactionLocation,UserAge,UserAccountAge,IsFraud,CardType,TransactionMethod
1141,412.52,2024-02-17 12:00:00,Grocery,Chicago,36,10,1,Debit,In-Person
1297,84.57,2024-02-24 00:00:00,Online,Los Angeles,38,82,1,Credit,Online
555,438.45,2024-01-24 02:00:00,Electronics,New York,63,76,0,Credit,In-Person
680,432.89,2024-01-29 07:00:00,Online,Houston,35,10,0,Debit,Online
50,93.24,2024-01-03 01:00:00,Clothing,Houston,45,3,0,Credit,Online
491,228.37,2024-01-21 10:00:00,Online,Los Angeles,43,85,0,Debit,Online
317,205.07,2024-01-14 04:00:00,Electronics,New York,56,71,0,Credit,Online
905,211.29,2024-02-07 16:00:00,Clothing,Phoenix,40,70,1,Credit,In-Person
637,266.78,2024-01-27 12:00:00,Grocery,New York,35,92,0,Credit,Online
561,352.34,2024-01-24 08:00:00,Grocery,Houston,40,77,0,Debit,Online
487,23.68,2024-01-21 06:00:00,Gas,Houston,25,64,0,Credit,Online
68,401.3,2024-01-03 19:00:00,Grocery,Chicago,27,98,0,Debit,In-Person
812,419.61,2024-02-03 19:00:00,Clothing,Los Angeles,31,45,1,Credit,Online
494,94.87,2024-01-21 13:00:00,Grocery,Chicago,43,47,0,Debit,In-Person
311,220.05,2024-01-13 22:00:00,Electronics,Los Angeles,26,52,0,Credit,In-Person
1097,111.02,2024-02-15 16:00:00,Grocery,Phoenix,57,79,1,Debit,Online
1248,17.23,2024-02-21 23:00:00,Grocery,Chicago,67,20,1,Debit,Online
185,129.71,2024-01-08 16:00:00,Electronics,New York,32,26,0,Debit,In-Person
307,258.63,2024-01-13 18:00:00,Electronics,Houston,57,100,0,Credit,Online
853,105.74,2024-02-05 12:00:00,Clothing,Chicago,30,85,1,Debit,Online
793,253.44,2024-02-03 00:00:00,Clothing,Phoenix,41,31,1,Debit,Online
290,295.83,2024-01-13 01:00:00,Clothing,New York,64,59,0,Debit,Online
707,161.85,2024-01-30 10:00:00,Clothing,Los Angeles,35,4,0,Credit,In-Person
1330,249.6,2024-02-25 09:00:00,Clothing,Houston,60,53,1,Debit,In-Person
655,216.4,2024-01-28 06:00:00,Online,New York,47,112,0,Credit,In-Person
523,484.99,2024-01-22 18:00:00,Clothing,New York,59,89,0,Debit,In-Person
462,324.96,2024-01-20 05:00:00,Online,Los Angeles,44,92,0,Credit,In-Person
931,70.54,2024-02-08 18:00:00,Electronics,Chicago,47,55,1,Debit,Online
1035,39.4,2024-02-13 02:00:00,Grocery,Houston,60,39,1,Credit,In-Person
30,24.18,2024-01-02 05:00:00,Gas,Phoenix,20,97,0,Credit,In-Person
241,470.29,2024-01-11 00:00:00,Electronics,Houston,67,105,0,Credit,In-Person
799,348.63,2024-02-03 06:00:00,Gas,Chicago,60,79,1,Credit,In-Person
818,200.1,2024-02-04 01:00:00,Clothing,Phoenix,64,84,1,Credit,Online
66,271.81,2024-01-03 17:00:00,Electronics,Houston,65,71,0,Debit,In-Person
602,140.02,2024-01-26 01:00:00,Electronics,Los Angeles,58,65,0,Debit,In-Person
925,213.18,2024-02-08 12:00:00,Electronics,New York,68,52,1,Debit,In-Person
755,70.5,2024-02-01 10:00:00,Online,Chicago,27,111,1,Debit,In-Person
927,135.07,2024-02-08 14:00:00,Clothing,Houston,60,109,1,Debit,Online
1102,484.58,2024-02-15 21:00:00,Clothing,New York,31,71,1,Credit,In-Person
248,483.36,2024-01-11 07:00:00,Electronics,Los Angeles,49,33,0,Credit,Online
278,325.33,2024-01-12 13:00:00,Electronics,Phoenix,37,66,0,Credit,In-Person
1403,19.3,2024-02-28 10:00:00,Grocery,Chicago,59,76,1,Credit,Online
1067,120.15,2024-02-14 10:00:00,Online,Chicago,46,66,1,Debit,Online
480,262.03,2024-01-20 23:00:00,Grocery,Chicago,45,98,0,Debit,Online
427,221.32,2024-01-18 18:00:00,Online,New York,42,88,0,Debit,In-Person
124,55.92,2024-01-06 03:00:00,Online,Chicago,46,17,0,Credit,In-Person
1170,144.23,2024-02-18 17:00:00,Online,Houston,41,56,1,Debit,Online
395,171.06,2024-01-17 10:00:00,Gas,Chicago,62,51,0,Debit,Online
986,248.25,2024-02-11 01:00:00,Grocery,New York,19,14,1,Credit,Online
716,464.84,2024-01-30 19:00:00,Clothing,New York,35,76,0,Credit,Online
1135,341.95,2024-02-17 06:00:00,Online,Houston,32,48,1,Debit,Online
1085,472.42,2024-02-15 04:00:00,Grocery,Los Angeles,30,12,1,Debit,Online
498,39.79,2024-01-21 17:00:00,Gas,New York,45,84,0,Credit,Online
45,130.13,2024-01-02 20:00:00,Electronics,Chicago,64,97,0,Credit,Online
60,163.34,2024-01-03 11:00:00,Grocery,Houston,47,14,0,Credit,Online
1162,65.31,2024-02-18 09:00:00,Online,Houston,30,3,1,Debit,In-Person
24,183.81,2024-01-01 23:00:00,Clothing,Chicago,37,91,0,Credit,Online
875,13.67,2024-02-06 10:00:00,Gas,Phoenix,63,62,1,Credit,In-Person
482,348.18,2024-01-21 01:00:00,Online,Phoenix,64,52,0,Credit,In-Person
1325,487.96,2024-02-25 04:00:00,Online,Los Angeles,26,27,1,Debit,In-Person
746,449.89,2024-02-01 01:00:00,Online,New York,49,87,0,Debit,Online
232,251.82,2024-01-10 15:00:00,Online,New York,60,72,0,Credit,Online
125,114.74,2024-01-06 04:00:00,Online,Phoenix,64,88,0,Debit,In-Person
428,443.96,2024-01-18 19:00:00,Gas,Phoenix,25,87,0,Debit,Online
819,28.33,2024-02-04 02:00:00,Clothing,New York,22,52,1,Debit,In-Person
169,21.35,2024-01-08 00:00:00,Grocery,New York,60,107,0,Credit,Online
116,435.86,2024-01-05 19:00:00,Online,Chicago,53,117,0,Credit,In-Person
1089,495.59,2024-02-15 08:00:00,Gas,New York,54,50,1,Debit,In-Person
987,344.51,2024-02-11 02:00:00,Grocery,Chicago,57,69,1,Debit,In-Person
1396,414.61,2024-02-28 03:00:00,Grocery,New York,46,34,1,Debit,In-Person
1425,493.33,2024-02-29 08:00:00,Grocery,Los Angeles,37,5,1,Debit,Online
416,224.77,2024-01-18 07:00:00,Online,Houston,22,112,0,Credit,Online
142,126.64,2024-01-06 21:00:00,Electronics,Chicago,63,75,0,Debit,In-Person
1234,16.54,2024-02-21 09:00:00,Grocery,New York,20,116,1,Credit,In-Person
1294,345.04,2024-02-23 21:00:00,Gas,New York,47,42,1,Debit,In-Person
763,125.0,2024-02-01 18:00:00,Gas,New York,55,49,1,Debit,In-Person
1207,341.96,2024-02-20 06:00:00,Clothing,Los Angeles,52,84,1,Credit,Online
463,373.28,2024-01-20 06:00:00,Online,Los Angeles,61,57,0,Credit,Online
1244,422.55,2024-02-21 19:00:00,Electronics,New York,41,70,1,Credit,Online
79,179.87,2024-01-04 06:00:00,Electronics,Los Angeles,29,42,0,Credit,In-Person
1005,403.47,2024-02-11 20:00:00,Electronics,Houston,51,15,1,Debit,Online
1491,119.53,2024-03-03 02:00:00,Grocery,Phoenix,34,93,1,Credit,Online
572,392.04,2024-01-24 19:00:00,Grocery,Phoenix,31,16,0,Credit,In-Person
16,92.52,2024-01-01 15:00:00,Gas,Los Angeles,36,27,0,Credit,Online
495,232.39,2024-01-21 14:00:00,Online,Chicago,40,33,0,Debit,In-Person
351,252.06,2024-01-15 14:00:00,Grocery,Phoenix,39,72,0,Credit,In-Person
1000,223.56,2024-02-11 15:00:00,Gas,Houston,53,81,1,Credit,In-Person
275,256.16,2024-01-12 10:00:00,Online,Phoenix,33,48,0,Credit,Online
1192,291.5,2024-02-19 15:00:00,Grocery,Los Angeles,56,52,1,Credit,In-Person
272,405.25,2024-01-12 07:00:00,Online,New York,66,26,0,Debit,In-Person
1474,202.67,2024-03-02 09:00:00,Online,Los Angeles,61,15,1,Credit,Online
238,13.13,2024-01-10 21:00:00,Grocery,Phoenix,24,20,0,Debit,In-Person
586,120.83,2024-01-25 09:00:00,Online,Los Angeles,63,41,0,Debit,In-Person
1313,274.25,2024-02-24 16:00:00,Electronics,Phoenix,23,119,1,Debit,Online
695,58.3,2024-01-29 22:00:00,Grocery,New York,46,67,0,Debit,In-Person
1002,271.41,2024-02-11 17:00:00,Clothing,New York,62,79,1,Credit,Online
323,330.44,2024-01-14 10:00:00,Electronics,Chicago,44,27,0,Debit,Online
783,126.65,2024-02-02 14:00:00,Online,New York,26,114,1,Credit,In-Person
1359,139.14,2024-02-26 14:00:00,Electronics,Chicago,51,75,1,Credit,Online
1204,162.48,2024-02-20 03:00:00,Online,Houston,46,12,1,Debit,In-Person
971,332.17,2024-02-10 10:00:00,Online,Houston,45,40,1,Credit,In-Person
1467,488.61,2024-03-02 02:00:00,Grocery,Houston,18,58,1,Credit,Online
527,207.99,2024-01-22 22:00:00,Electronics,New York,57,82,0,Credit,Online
1426,482.59,2024-02-29 09:00:00,Clothing,Los Angeles,46,15,1,Debit,Online
1171,308.85,2024-02-18 18:00:00,Electronics,Phoenix,35,108,1,Debit,In-Person
176,88.01,2024-01-08 07:00:00,Electronics,Los Angeles,53,92,0,Credit,Online
359,470.17,2024-01-15 22:00:00,Electronics,Phoenix,53,10,0,Debit,Online
44,454.75,2024-01-02 19:00:00,Grocery,New York,22,34,0,Debit,Online
417,147.31,2024-01-18 08:00:00,Online,Houston,26,54,0,Credit,Online
345,199.85,2024-01-15 08:00:00,Clothing,New York,29,26,0,Debit,In-Person
1027,431.16,2024-02-12 18:00:00,Clothing,Chicago,42,86,1,Credit,In-Person
1402,84.64,2024-02-28 09:00:00,Gas,New York,29,114,1,Credit,Online
102,318.57,2024-01-05 05:00:00,Gas,Houston,43,15,0,Credit,Online
108,378.02,2024-01-05 11:00:00,Electronics,Los Angeles,64,90,0,Credit,Online
1490,224.9,2024-03-03 01:00:00,Electronics,Phoenix,67,104,1,Credit,Online
1053,469.59,2024-02-13 20:00:00,Electronics,Houston,43,51,1,Credit,In-Person
965,145.06,2024-02-10 04:00:00,Clothing,Chicago,62,117,1,Credit,Online
381,59.96,2024-01-16 20:00:00,Gas,New York,62,106,0,Debit,In-Person
245,8.71,2024-01-11 04:00:00,Grocery,Phoenix,50,90,0,Debit,Online
1100,175.71,2024-02-15 19:00:00,Gas,Chicago,40,17,1,Debit,Online
501,349.38,2024-01-21 20:00:00,Electronics,Houston,36,114,0,Debit,In-Person
701,266.76,2024-01-30 04:00:00,Online,Los Angeles,56,35,0,Debit,Online
129,4.47,2024-01-06 08:00:00,Grocery,Houston,40,96,0,Credit,Online
240,89.38,2024-01-10 23:00:00,Grocery,Phoenix,64,71,0,Debit,In-Person
1115,296.88,2024-02-16 10:00:00,Grocery,Houston,42,58,1,Debit,In-Person
683,86.27,2024-01-29 10:00:00,Grocery,New York,47,4,0,Credit,In-Person
483,227.82,2024-01-21 02:00:00,Online,Houston,62,104,0,Credit,Online
1306,435.61,2024-02-24 09:00:00,Online,Chicago,33,2,1,Credit,Online
276,251.26,2024-01-12 11:00:00,Gas,Houston,19,100,0,Debit,In-Person
583,246.82,2024-01-25 06:00:00,Clothing,Chicago,46,74,0,Debit,Online
204,449.38,2024-01-09 11:00:00,Clothing,Phoenix,26,3,0,Credit,In-Person
33,33.46,2024-01-02 08:00:00,Clothing,New York,40,38,0,Credit,Online
1320,31.12,2024-02-24 23:00:00,Grocery,Houston,33,61,1,Credit,Online
814,460.5,2024-02-03 21:00:00,Grocery,New York,53,78,1,Credit,Online
998,69.27,2024-02-11 13:00:00,Grocery,Phoenix,52,99,1,Debit,Online
382,348.67,2024-01-16 21:00:00,Grocery,Los Angeles,40,85,0,Credit,In-Person
1074,9.92,2024-02-14 17:00:00,Grocery,Phoenix,58,20,1,Debit,In-Person
1349,493.84,2024-02-26 04:00:00,Online,Los Angeles,44,39,1,Credit,In-Person
579,246.57,2024-01-25 02:00:00,Grocery,Los Angeles,33,101,0,Credit,Online
888,119.85,2024-02-06 23:00:00,Gas,Los Angeles,29,91,1,Debit,Online
1326,169.11,2024-02-25 05:00:00,Clothing,Phoenix,22,26,1,Debit,In-Person
1327,91.88,2024-02-25 06:00:00,Gas,New York,59,7,1,Credit,In-Person
942,277.53,2024-02-09 05:00:00,Electronics,Chicago,62,66,1,Debit,In-Person
164,268.35,2024-01-07 19:00:00,Electronics,Chicago,62,95,0,Debit,In-Person
910,190.47,2024-02-07 21:00:00,Grocery,Phoenix,52,65,1,Debit,In-Person
298,108.69,2024-01-13 09:00:00,Clothing,Phoenix,44,78,0,Debit,Online
756,397.22,2024-02-01 11:00:00,Clothing,Los Angeles,45,40,1,Debit,In-Person
406,447.87,2024-01-17 21:00:00,Grocery,Houston,34,10,0,Credit,In-Person
969,283.64,2024-02-10 08:00:00,Gas,Houston,37,39,1,Debit,In-Person
606,230.93,2024-01-26 05:00:00,Grocery,Phoenix,65,26,0,Debit,In-Person
421,396.0,2024-01-18 12:00:00,Clothing,Phoenix,48,21,0,Debit,In-Person
465,481.12,2024-01-20 08:00:00,Electronics,New York,37,96,0,Credit,In-Person
1188,34.85,2024-02-19 11:00:00,Clothing,Houston,68,2,1,Debit,Online
940,288.68,2024-02-09 03:00:00,Electronics,Los Angeles,40,73,1,Debit,Online
193,450.31,2024-01-09 00:00:00,Electronics,New York,37,66,0,Debit,In-Person
675,205.79,2024-01-29 02:00:00,Grocery,Chicago,25,5,0,Credit,Online
352,428.39,2024-01-15 15:00:00,Grocery,New York,31,106,0,Debit,Online
859,282.86,2024-02-05 18:00:00,Electronics,Houston,35,57,1,Debit,In-Person
64,179.02,2024-01-03 15:00:00,Gas,New York,52,103,0,Credit,In-Person
1174,130.64,2024-02-18 21:00:00,Clothing,New York,46,77,1,Debit,Online
766,285.37,2024-02-01 21:00:00,Grocery,Houston,36,57,1,Debit,In-Person
1441,484.99,2024-03-01 00:00:00,Grocery,Chicago,32,54,1,Debit,Online
262,495.04,2024-01-11 21:00:00,Electronics,Phoenix,57,49,0,Debit,In-Person
343,87.43,2024-01-15 06:00:00,Grocery,Chicago,31,70,0,Debit,In-Person
1221,475.48,2024-02-20 20:00:00,Gas,Houston,28,118,1,Credit,Online
472,484.97,2024-01-20 15:00:00,Gas,Los Angeles,36,52,0,Credit,In-Person
1335,487.42,2024-02-25 14:00:00,Electronics,Phoenix,51,92,1,Credit,Online
199,443.66,2024-01-09 06:00:00,Grocery,Phoenix,46,33,0,Credit,Online
1232,115.75,2024-02-21 07:00:00,Clothing,Chicago,65,10,1,Credit,In-Person
918,474.28,2024-02-08 05:00:00,Gas,Los Angeles,57,67,1,Debit,In-Person
744,251.86,2024-01-31 23:00:00,Gas,Phoenix,22,68,0,Debit,Online
571,257.48,2024-01-24 18:00:00,Electronics,Chicago,53,76,0,Debit,In-Person
219,325.17,2024-01-10 02:00:00,Gas,Houston,19,16,0,Debit,Online
454,453.27,2024-01-19 21:00:00,Electronics,Los Angeles,25,85,0,Debit,Online
31,304.16,2024-01-02 06:00:00,Online,Phoenix,26,80,0,Credit,In-Person
57,45.16,2024-01-03 08:00:00,Clothing,Houston,31,105,0,Debit,In-Person
1211,213.66,2024-02-20 10:00:00,Clothing,New York,24,41,1,Credit,In-Person
1386,163.27,2024-02-27 17:00:00,Clothing,Los Angeles,57,63,1,Credit,In-Person
1066,369.05,2024-02-14 09:00:00,Online,Houston,19,76,1,Debit,Online
431,72.35,2024-01-18 22:00:00,Online,Phoenix,61,1,0,Credit,In-Person
725,287.66,2024-01-31 04:00:00,Clothing,Chicago,23,17,0,Credit,In-Person
1145,134.25,2024-02-17 16:00:00,Clothing,Los Angeles,47,52,1,Credit,In-Person
1006,329.73,2024-02-11 21:00:00,Electronics,Houston,42,28,1,Credit,In-Person
1051,437.48,2024-02-13 18:00:00,Clothing,Los Angeles,62,110,1,Credit,In-Person
1346,213.32,2024-02-26 01:00:00,Online,Houston,21,93,1,Debit,Online
1237,432.31,2024-02-21 12:00:00,Gas,Phoenix,52,72,1,Credit,Online
1236,184.89,2024-02-21 11:00:00,Clothing,Los Angeles,64,67,1,Debit,Online
1449,472.36,2024-03-01 08:00:00,Grocery,Houston,67,89,1,Credit,Online
621,93.08,2024-01-26 20:00:00,Clothing,Los Angeles,18,16,0,Debit,Online
1068,56.13,2024-02-14 11:00:00,Gas,Phoenix,30,107,1,Credit,Online
839,290.71,2024-02-04 22:00:00,Gas,Los Angeles,21,10,1,Debit,Online
100,54.84,2024-01-05 03:00:00,Grocery,Phoenix,56,71,0,Credit,Online
533,498.32,2024-01-23 04:00:00,Grocery,New York,56,54,0,Credit,Online
529,29.13,2024-01-23 00:00:00,Electronics,Chicago,69,94,0,Debit,Online
1347,173.62,2024-02-26 02:00:00,Electronics,Houston,21,54,1,Credit,Online
1173,316.27,2024-02-18 20:00:00,Online,Houston,23,40,1,Debit,In-Person
1179,380.75,2024-02-19 02:00:00,Clothing,Los Angeles,28,27,1,Credit,Online
630,126.97,2024-01-27 05:00:00,Gas,Chicago,53,25,0,Credit,Online
1028,422.43,2024-02-12 19:00:00,Gas,Phoenix,62,18,1,Credit,Online
271,404.87,2024-01-12 06:00:00,Gas,Phoenix,44,108,0,Credit,Online
1342,231.85,2024-02-25 21:00:00,Clothing,Los Angeles,18,95,1,Debit,In-Person
627,231.8,2024-01-27 02:00:00,Clothing,Houston,25,31,0,Debit,Online
1043,160.06,2024-02-13 10:00:00,Electronics,Phoenix,41,34,1,Credit,Online
977,297.94,2024-02-10 16:00:00,Online,Chicago,67,30,1,Credit,Online
372,10.09,2024-01-16 11:00:00,Clothing,Houston,68,95,0,Debit,In-Person
589,64.89,2024-01-25 12:00:00,Gas,Chicago,55,50,0,Debit,In-Person
968,149.26,2024-02-10 07:00:00,Electronics,Phoenix,40,81,1,Debit,In-Person
1166,409.17,2024-02-18 13:00:00,Electronics,Los Angeles,51,48,1,Debit,Online
1147,398.92,2024-02-17 18:00:00,Grocery,New York,66,83,1,Debit,Online
237,141.11,2024-01-10 20:00:00,Electronics,Los Angeles,21,16,0,Debit,In-Person
597,334.11,2024-01-25 20:00:00,Gas,Houston,24,15,0,Credit,In-Person
963,123.43,2024-02-10 02:00:00,Clothing,Houston,57,39,1,Credit,In-Person
1446,89.4,2024-03-01 05:00:00,Clothing,Houston,61,62,1,Debit,In-Person
1164,372.01,2024-02-18 11:00:00,Online,Phoenix,44,101,1,Debit,In-Person
591,70.27,2024-01-25 14:00:00,Electronics,New York,64,106,0,Credit,Online
209,3.53,2024-01-09 16:00:00,Gas,Los Angeles,36,99,0,Debit,Online
1075,493.87,2024-02-14 18:00:00,Grocery,Phoenix,25,38,1,Credit,In-Person
900,43.67,2024-02-07 11:00:00,Clothing,Houston,52,28,1,Credit,In-Person
354,82.3,2024-01-15 17:00:00,Grocery,Los Angeles,53,35,0,Debit,Online
59,23.57,2024-01-03 10:00:00,Clothing,Houston,63,61,0,Debit,In-Person
304,319.08,2024-01-13 15:00:00,Gas,Houston,42,6,0,Debit,Online
1448,419.22,2024-03-01 07:00:00,Online,Los Angeles,52,46,1,Credit,In-Person
844,480.57,2024-02-05 03:00:00,Online,Houston,43,21,1,Credit,Online
1262,398.98,2024-02-22 13:00:00,Gas,Houston,30,91,1,Credit,Online
1431,227.92,2024-02-29 14:00:00,Electronics,Los Angeles,18,3,1,Debit,In-Person
1210,498.57,2024-02-20 09:00:00,Gas,Houston,57,13,1,Debit,Online
368,452.77,2024-01-16 07:00:00,Online,New York,22,17,0,Credit,In-Person
1358,211.44,2024-02-26 13:00:00,Electronics,New York,33,58,1,Credit,In-Person
1198,484.47,2024-02-19 21:00:00,Gas,Phoenix,49,107,1,Debit,Online
1305,354.82,2024-02-24 08:00:00,Gas,Phoenix,34,28,1,Debit,Online
1233,107.34,2024-02-21 08:00:00,Electronics,Chicago,49,106,1,Debit,In-Person
705,32.62,2024-01-30 08:00:00,Electronics,Los Angeles,24,105,0,Debit,In-Person
234,246.77,2024-01-10 17:00:00,Grocery,Los Angeles,18,103,0,Credit,In-Person
619,403.29,2024-01-26 18:00:00,Clothing,Los Angeles,43,77,0,Debit,Online
197,363.25,2024-01-09 04:00:00,Online,New York,39,17,0,Debit,Online
1260,291.4,2024-02-22 11:00:00,Online,Phoenix,20,70,1,Debit,Online
82,312.03,2024-01-04 09:00:00,Gas,Chicago,28,76,0,Credit,In-Person
1405,332.24,2024-02-28 12:00:00,Gas,New York,68,118,1,Debit,In-Person
598,86.99,2024-01-25 21:00:00,Online,Houston,39,112,0,Debit,In-Person
1157,80.14,2024-02-18 04:00:00,Clothing,Houston,69,102,1,Credit,In-Person
112,81.45,2024-01-05 15:00:00,Gas,Phoenix,30,25,0,Debit,Online
1277,121.78,2024-02-23 04:00:00,Electronics,Los Angeles,31,33,1,Credit,Online
781,347.28,2024-02-02 12:00:00,Electronics,Los Angeles,20,86,1,Credit,Online
984,38.49,2024-02-10 23:00:00,Clothing,Houston,28,51,1,Debit,In-Person
800,461.33,2024-02-03 07:00:00,Electronics,Chicago,33,23,1,Debit,Online
1266,37.15,2024-02-22 17:00:00,Grocery,Chicago,57,2,1,Credit,Online
1151,354.47,2024-02-17 22:00:00,Online,Chicago,57,9,1,Credit,Online
825,269.16,2024-02-04 08:00:00,Electronics,Phoenix,31,117,1,Credit,In-Person
383,314.84,2024-01-16 22:00:00,Electronics,Phoenix,31,86,0,Debit,In-Person
539,225.82,2024-01-23 10:00:00,Gas,Chicago,63,53,0,Debit,Online
1494,37.52,2024-03-03 05:00:00,Electronics,Houston,23,28,1,Debit,Online
1113,112.68,2024-02-16 08:00:00,Clothing,New York,62,102,1,Credit,Online
325,477.48,2024-01-14 12:00:00,Electronics,Los Angeles,48,107,0,Credit,Online
362,322.0,2024-01-16 01:00:00,Online,Phoenix,55,108,0,Debit,In-Person
1488,348.04,2024-03-02 23:00:00,Gas,Los Angeles,19,23,1,Credit,Online
1030,414.63,2024-02-12 21:00:00,Electronics,Chicago,38,46,1,Credit,Online
708,405.13,2024-01-30 11:00:00,Gas,Houston,61,93,0,Debit,Online
333,8.18,2024-01-14 20:00:00,Electronics,New York,37,64,0,Debit,In-Person
430,59.42,2024-01-18 21:00:00,Grocery,Houston,37,9,0,Credit,In-Person
1243,385.69,2024-02-21 18:00:00,Clothing,Chicago,34,66,1,Debit,Online
426,275.21,2024-01-18 17:00:00,Clothing,New York,44,20,0,Credit,In-Person
629,19.3,2024-01-27 04:00:00,Clothing,New York,36,106,0,Debit,In-Person
1112,113.0,2024-02-16 07:00:00,Gas,Phoenix,34,114,1,Credit,Online
678,199.53,2024-01-29 05:00:00,Electronics,Los Angeles,36,54,0,Credit,In-Person
694,121.96,2024-01-29 21:00:00,Online,Los Angeles,29,101,0,Credit,In-Person
758,267.2,2024-02-01 13:00:00,Clothing,New York,32,51,1,Credit,In-Person
255,85.58,2024-01-11 14:00:00,Electronics,Phoenix,59,68,0,Credit,In-Person
1095,116.1,2024-02-15 14:00:00,Grocery,Los Angeles,40,66,1,Debit,Online
917,147.94,2024-02-08 04:00:00,Clothing,Phoenix,43,40,1,Credit,Online
1186,468.68,2024-02-19 09:00:00,Grocery,Phoenix,55,81,1,Debit,Online
669,94.1,2024-01-28 20:00:00,Gas,New York,40,51,0,Credit,In-Person
842,332.11,2024-02-05 01:00:00,Clothing,Phoenix,65,60,1,Credit,In-Person
